"semaine";"AMIENS";"ANGERS LA BAUMETTE";"ANGLET (PONT DE L'AVEUGLE No2)";"AQUAVARA";"AUXERRE - APPOIGNY";"BASTIA-SUD";"BESANCON - PORT-DOUVOT";"BONNEUIL-EN-FRANCE";"BORDEAUX (LOUIS FARGUE 2)";"CANNES";"CAP SICIE - AMPHITRIA";"CARCASSONNE NOUVELLE";"CARRE DE REUNION";"CHALON SUR SAONE-PORT BAROIS";"CLERMONT-FERRAND";"CRAN-GEVRIER - SILOE";"DIJON";"EVRY CENTRE-CAECE";"GRANDE-SYNTHE";"GRENOBLE / AQUAPOLE";"LA BAULE-ESCOUBLAC-GUERANDE LIVERY";"LA ROCHELLE";"LAGNY-SUR-MARNE ST THIBAULT-DES-VIGNES";"LE HAVRE";"LENS LOISON SOUS LENS";"LESCAR";"LILLE-MARQUETTE-LEZ-LILLE";"LIMOGES";"LMM_LE MANS - LA CHAUVINIERE";"LYON - SAINT FONS";"MAERA (EX CEREIREDE)";"MARSEILLE";"MAXEVILLE";"METZ";"MONDEVILLE";"NANTES 1-TOUGAS";"NICE-HALIOTIS";"NIMES";"ORLEANS LA CHAPELLE-SAINT-MESMIN";"PARIS MARNE AVAL";"PARIS SEINE-AMONT";"PARIS SEINE-CENTRE";"POITIERS LA FOLIE";"REIMS";"RENNES";"ROUBAIX-WATTRELOS";"ROUEN";"SAINT-BRIEUC LE LEGUE";"SAINT-ETIENNE - FURANIA";"SAUSHEIM";"STEU DE: BREST (ZONE-PORTUAIRE)";"STRASBOURG - LA WANTZENAU";"TOULOUSE GINESTOUS";"TOURS, LA RICHE LA GRANGE DAVID";"VALENCIENNES";"National_12";"National_54"
"2022-S50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16298,2834909794;NA;NA;16499,4856557514;NA;NA;NA;NA;NA;10278,3159744545;NA;NA;NA;NA;NA;16431,9941947076;18595,6203930094;NA;NA;16900,8114253297;NA;NA;19313,8405528401;NA;NA;9138,23551103758;NA;NA;22117,9380517153;10624,0438350537;14009,7433071573;NA;NA;NA;NA;NA;26385,2013685181;NA;NA;16580,4656248655;NA
"2022-S51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14003,5977553203;NA;NA;8865,62685917808;NA;NA;NA;NA;NA;8353,0628012059;NA;NA;NA;NA;NA;10745,0261857592;18448,6015432033;NA;NA;11853,7829576311;NA;NA;13566,6417093094;NA;NA;6316,83435601107;NA;NA;20771,5452455524;7472,47185836405;10089,2196849996;NA;NA;NA;NA;NA;18256,3769749877;NA;NA;11897,8318781921;NA
"2022-S52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10799,6433415085;NA;NA;4234,02321218178;NA;NA;NA;NA;NA;6268,69756712633;NA;NA;NA;NA;NA;6681,48679753276;13700,2484054043;NA;NA;7649,05232892714;NA;NA;8598,71551941119;NA;NA;3669,57071222193;NA;NA;16409,0580907404;3942,13897151854;6542,5817514321;NA;NA;NA;NA;NA;9670,60222610302;NA;NA;7441,33798233596;NA
"2023-S01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7045,93994688168;NA;NA;2220,1759492138;NA;NA;NA;NA;NA;3997,16332631122;NA;NA;NA;NA;NA;4331,33125164213;9013,28508437074;NA;NA;4646,4983656829;NA;NA;4949,92676532888;NA;NA;2258,41736226832;NA;NA;NA;2072,2082045404;NA;NA;NA;NA;NA;NA;4927,08339491038;NA;NA;4155,25204800608;NA
"2023-S02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4459,14046681146;NA;NA;1295,81486961553;NA;NA;NA;NA;NA;2591,02732787573;NA;NA;NA;NA;NA;3025,70664760385;5031,43888806885;NA;NA;2915,99933729187;NA;NA;2937,89429285338;NA;NA;1899,90086730474;NA;NA;4093,1023976394;1394,00677984988;2098,7763034057;NA;NA;NA;NA;NA;2988,44551484803;NA;NA;2730,98550747688;NA
"2023-S03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2878,47253671842;NA;NA;1146,57211981002;NA;NA;NA;NA;NA;1854,37579894651;NA;NA;NA;NA;NA;2875,91585174615;2787,70925327334;NA;NA;2311,73879136642;NA;NA;2245,70307335691;NA;NA;1978,59050700713;NA;NA;2251,24251005846;1136,6703149412;1465,89134163188;NA;NA;NA;NA;NA;1996,45477319602;NA;NA;2128,0774387957;NA
"2023-S04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2028,32531764044;NA;NA;1151,86747651235;NA;NA;NA;NA;NA;1452,24271741843;NA;NA;NA;NA;NA;3046,73218295672;1783,69147663162;NA;NA;2011,57346490447;NA;NA;1946,5545650753;NA;NA;2273,84681797095;NA;NA;1782,63810096646;1051,71837160666;1606,28304933212;NA;NA;NA;NA;NA;1674,17241778211;NA;NA;2003,35067267941;NA
"2023-S05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1562,2519702502;NA;NA;1244,8266641251;NA;NA;NA;NA;NA;1574,36725551673;NA;NA;NA;NA;NA;3536,61343751792;1292,36963207404;NA;NA;1899,535984279;NA;NA;2109,08471067152;NA;NA;2723,34739930294;NA;NA;1622,17944494645;1090,73272927768;2024,24023532478;NA;NA;NA;NA;NA;1662,2507498784;NA;NA;2148,07092853473;NA
"2023-S06";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1526,07211592392;NA;NA;1430,02347736984;NA;NA;NA;NA;NA;1849,36488954518;NA;NA;NA;NA;NA;4179,27355852711;1271,82262174941;NA;NA;1927,08700530955;NA;NA;2487,13412354458;NA;NA;3390,39124099632;NA;NA;1660,37357698825;1247,33520614915;2561,51565373853;NA;NA;NA;NA;NA;1818,90881080539;NA;NA;2477,93737798599;NA
"2023-S07";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1683,55767024042;NA;NA;1485,55826517811;NA;NA;NA;NA;NA;2025,62529945328;NA;NA;NA;NA;NA;4373,02234549594;1437,00920473729;NA;NA;2106,07879870902;NA;NA;2849,99614571256;NA;NA;3775,81972913358;NA;NA;1844,95724229137;1491,5083005221;3268,68321248356;NA;NA;NA;NA;NA;2057,61311138917;NA;NA;2731,23996079938;NA
"2023-S08";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2114,58239356945;NA;NA;1604,15455516376;NA;NA;NA;NA;NA;2137,63871315465;NA;NA;NA;NA;NA;4564,12883079661;1842,91030750378;NA;NA;2436,81274136786;NA;NA;3426,85343721445;NA;NA;4176,39551670232;NA;NA;2066,49751315522;1959,58039646469;3862,94767735602;NA;NA;NA;NA;NA;2398,08848233619;NA;NA;3060,28083082739;NA
"2023-S09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2656,50762107707;NA;NA;1772,37833752281;NA;NA;NA;NA;NA;2264,73025132714;NA;NA;NA;NA;NA;4731,80136306947;2499,6427542583;NA;NA;2893,73565591192;NA;NA;4178,06399569637;NA;NA;5289,96163594787;NA;NA;2476,08468040002;2746,68794356398;4399,24799590672;NA;NA;NA;NA;NA;2745,42657884709;NA;NA;3552,64944701784;NA
"2023-S10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3360,2543997998;NA;NA;2149,12620334036;NA;NA;NA;NA;NA;2484,70332669483;NA;NA;NA;NA;NA;NA;3289,04652413746;NA;NA;3450,34334388044;NA;NA;5055,44941261498;NA;NA;6939,5051364617;NA;NA;3021,71596895558;4721,20094162444;4890,54416731677;NA;NA;NA;NA;NA;3191,42577416245;NA;NA;4108,78625882364;NA
"2023-S11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4151,97723953499;NA;NA;2683,95514254549;NA;NA;NA;NA;NA;2722,07050636918;NA;NA;NA;NA;NA;5561,29251378898;4204,93604303203;NA;NA;4133,92786121524;NA;NA;6083,24881942115;NA;NA;8723,27005740396;NA;NA;3841,21291023087;7547,0917259113;5568,7921115083;NA;NA;NA;NA;NA;3603,62632728313;NA;NA;5231,88271125022;NA
"2023-S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4973,58964432111;NA;NA;3254,82488437212;NA;NA;NA;NA;NA;3045,01174867812;NA;NA;NA;NA;NA;5926,58155404237;4839,46493803046;NA;NA;5059,10588124158;NA;NA;7387,40371776392;NA;NA;9012,72750730686;NA;NA;4843,77131846432;8110,29751007196;6338,83270159134;NA;NA;NA;NA;NA;4110,91897247642;NA;NA;5819,29819211414;NA
"2023-S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5410,16624282175;NA;NA;3886,1681034588;NA;NA;NA;NA;NA;3405,84222351312;NA;NA;NA;NA;NA;6077,60774369583;5351,21229129332;NA;NA;5904,08887460622;NA;NA;8581,9171501923;NA;NA;8576,21346586834;NA;NA;5626,0381412505;7587,12479645789;7433,11232318428;NA;NA;NA;NA;NA;4938,7277974233;NA;NA;6209,16344310741;NA
"2023-S14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5511,18965252174;NA;NA;4863,8270961282;NA;NA;NA;NA;NA;3602,04776068254;NA;NA;NA;NA;NA;5996,85207970267;5655,38434438656;NA;NA;5953,53712662228;NA;NA;9156,11644303025;NA;NA;7624,72861399195;NA;NA;6079,33076825199;6602,18314561743;8338,39734806875;NA;NA;NA;NA;NA;8004,7985127945;NA;NA;6616,51608159516;NA
"2023-S15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5286,4045790662;NA;NA;5782,39698773581;NA;NA;NA;NA;NA;3654,05567418777;NA;NA;NA;NA;NA;5529,28331952879;5745,58745994352;NA;NA;5587,71317333215;NA;NA;8901,99726685613;NA;NA;6419,79519390736;NA;NA;5752,63373523251;5710,89457256765;8200,14792700931;NA;NA;NA;NA;NA;12640,2437843271;NA;NA;6909,19723080507;NA
"2023-S16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4800,89165533787;NA;NA;5863,71909484922;NA;NA;NA;NA;NA;3623,75425440302;NA;NA;NA;NA;NA;5033,33725878287;5832,03056943828;NA;NA;4691,80436130716;NA;NA;7117,86427221033;NA;NA;4832,81440572459;NA;NA;5178,72938413026;4659,23091424849;7558,8304718144;NA;NA;NA;NA;NA;15926,5516736862;NA;NA;6711,60218777007;NA
"2023-S17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4125,2441429794;NA;NA;5352,1496493685;NA;NA;NA;NA;NA;3499,11482677143;NA;NA;NA;NA;NA;4725,79398865609;5666,53709241102;NA;NA;3855,8641566975;NA;NA;5331,34243023284;NA;NA;3643,78264893677;NA;NA;4473,41674877579;3814,51273846166;6410,39573421888;NA;NA;NA;NA;NA;16857,4593042943;NA;NA;6201,50764629577;NA
"2023-S18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3178,98545589966;NA;NA;3989,35238900174;NA;NA;NA;NA;NA;3181,13117870288;NA;NA;NA;NA;NA;4395,52291995992;5146,78974350702;NA;NA;3294,51933838151;NA;NA;3890,84654970331;NA;NA;3254,76750959952;NA;NA;3798,87715436841;3000,25996585786;5220,67997203415;NA;NA;NA;NA;NA;11486,7220662239;NA;NA;4897,00984164168;NA
"2023-S19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2417,81640804759;NA;NA;2770,60411842808;NA;NA;NA;NA;NA;2772,84967659351;NA;NA;NA;NA;NA;4117,66591295714;4396,58546584258;NA;NA;2864,79607622024;NA;NA;2798,88277077548;NA;NA;3006,439352455;NA;NA;3397,85921818888;2355,38066804785;4294,08637414145;NA;NA;NA;NA;NA;6917,38951663049;NA;NA;3804,9846029237;NA
"2023-S20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005,85089196804;NA;NA;1962,91680851302;NA;NA;NA;NA;NA;2526,70897463145;NA;NA;NA;NA;NA;3775,04495394328;NA;NA;NA;2869,15108740702;NA;NA;2187,22033814971;NA;NA;2807,86627981889;NA;NA;3070,7662505037;1864,73973710749;3474,0366529298;NA;NA;NA;NA;NA;4033,37324611811;NA;NA;3034,07885916589;NA
"2023-S21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1695,54032586815;NA;NA;1403,51203249929;NA;NA;NA;NA;NA;2172,3044867596;NA;NA;NA;NA;NA;3121,13125815875;2359,62433290003;NA;NA;2884,45886961542;NA;NA;1715,19977084405;NA;NA;2612,14181235939;NA;NA;2903,47575098872;1441,48484358656;2843,57926452;NA;NA;NA;NA;NA;3044,8542814294;NA;NA;2540,46962690497;NA
"2023-S22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1513,429280751;NA;NA;1068,68735278221;NA;NA;NA;NA;NA;1553,55932372138;NA;NA;NA;NA;NA;2564,68659237631;1712,21121828844;NA;NA;2565,11124869518;NA;NA;1234,90447150922;NA;NA;2243,70900650571;NA;NA;2701,56607429571;1145,32345966439;2263,95521156413;NA;NA;NA;NA;NA;2507,57731192254;NA;NA;2101,87433326197;NA
